decode,arm,split,metric,seed19521011,seed19521012,seed19521013,seed19521014,seed19521015,seed19521016,seed19521017,seed19521018,seed19521019,seed19521020,seed19521021,seed19521022,seed19521023,seed19521024,seed19521025,mean
revive,no_rel,test,recall,+0.005414,-0.029168,-0.032106,+0.054197,-0.038936,-0.008584,-0.048620,-0.149227,+0.036994,-0.064117,+0.016182,-0.099515,-0.113147,+0.010509,-0.040367,-0.033366
revive,no_rel,test,wrong_merge_rate,-0.033816,-0.015551,+0.016513,-0.020646,-0.032723,+0.017257,-0.075504,+0.058216,-0.030651,-0.014979,-0.070163,-0.038655,-0.039387,-0.013095,-0.027283,-0.021364
revive,no_rel,test,fragmentation_rate,-0.025481,+0.036347,+0.055016,+0.006703,+0.068662,+0.018768,-0.059817,-0.003944,-0.067907,-0.026169,-0.062090,+0.016680,-0.041424,-0.052995,-0.048094,-0.012383
revive,no_rel,test,impossible_transition_rate,-0.043159,-0.010819,+0.008277,-0.025024,-0.015435,+0.004206,-0.023695,+0.059418,-0.015253,+0.007708,-0.024236,-0.010991,-0.026438,-0.001295,-0.026151,-0.009526
revive,no_rel,test,dangling_precision,+0.021778,-0.079069,-0.026628,+0.127086,-0.026735,+0.042210,-0.196112,-0.126100,-0.008091,-0.250982,-0.096634,-0.145206,-0.239909,-0.107185,-0.132851,-0.082962
revive,no_rel,test,dangling_recall,-0.012209,-0.002818,+0.003646,-0.049882,+0.006449,-0.010269,+0.090699,+0.202837,-0.010275,+0.043166,+0.014102,+0.106050,+0.142236,+0.010453,+0.056119,+0.039354
revive,no_time,dev,f1,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
revive,no_time,dev,precision,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
revive,no_time,dev,recall,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
revive,no_time,dev,wrong_merge_rate,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
