variant,seed,split,margin,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling,n_pred_identities,n_wrong_merges,scenario_id
m3_full,19521011,dev,0.0,109,22,0.7727272727272727,0.1559633027522936,0.25954198473282447,0.19444444444444445,0.944954128440367,0.7475442043222004,0.25245579567779963,1018,257,0.2546583850931677,0.7884615384615384,52,161,72,14,sec_dev_0008
m3_full,19521011,dev,0.7,109,51,0.6078431372549019,0.28440366972477066,0.3875,0.26153846153846155,1.2201834862385321,0.7031674208144796,0.29683257918552036,2210,656,0.75,0.5192307692307693,52,36,130,34,sec_dev_0008
m3_full,19521011,dev,0.0,110,20,0.65,0.11818181818181818,0.19999999999999998,0.16883116883116883,1.018181818181818,0.7347130761994356,0.26528692380056446,1063,282,0.25477707006369427,0.7843137254901961,51,157,77,13,sec_dev_0009
m3_full,19521011,dev,0.7,110,60,0.6166666666666667,0.33636363636363636,0.4352941176470588,0.2706766917293233,1.1727272727272726,0.7266881028938907,0.2733118971061093,2177,595,0.675,0.5294117647058824,51,40,133,36,sec_dev_0009
m3_full,19521011,dev,0.0,104,29,0.8275862068965517,0.23076923076923078,0.3609022556390978,0.13333333333333333,0.8557692307692307,0.755868544600939,0.24413145539906103,1065,260,0.31125827814569534,0.8245614035087719,57,151,75,10,sec_dev_0010
m3_full,19521011,dev,0.7,104,60,0.65,0.375,0.47560975609756106,0.2074074074074074,1.0769230769230769,0.7315914489311164,0.2684085510688836,2105,565,0.6829268292682927,0.49122807017543857,57,41,135,28,sec_dev_0010
m3_full,19521011,dev,0.0,105,24,0.875,0.2,0.32558139534883723,0.0989010989010989,0.9333333333333333,0.8092386655260907,0.19076133447390933,1169,223,0.2857142857142857,0.7142857142857143,56,140,91,9,sec_dev_0011
m3_full,19521011,dev,0.7,105,46,0.8043478260869565,0.3523809523809524,0.490066225165563,0.19852941176470587,1.0666666666666667,0.7721518987341772,0.22784810126582278,2054,468,0.574468085106383,0.48214285714285715,56,47,136,27,sec_dev_0011
m3_full,19521011,test,0.0,110,27,0.6666666666666666,0.16363636363636364,0.2627737226277372,0.13095238095238096,0.9818181818181818,0.7853403141361257,0.21465968586387435,1146,246,0.23648648648648649,0.6862745098039216,51,148,84,11,sec_test_0000
m3_full,19521011,test,0.7,110,60,0.6333333333333333,0.34545454545454546,0.4470588235294118,0.2248062015503876,1.0545454545454545,0.7345092718227046,0.26549072817729535,2211,587,0.6756756756756757,0.49019607843137253,51,37,129,29,sec_test_0000
m3_full,19521011,test,0.0,106,21,0.7142857142857143,0.14150943396226415,0.23622047244094488,0.14814814814814814,1.028301886792453,0.7686496694995278,0.23135033050047216,1059,245,0.24836601307189543,0.6909090909090909,55,153,81,12,sec_test_0001
m3_full,19521011,test,0.7,106,53,0.6415094339622641,0.32075471698113206,0.42767295597484273,0.20149253731343283,1.1603773584905661,0.7320415879017013,0.2679584120982987,2116,567,0.6190476190476191,0.4727272727272727,55,42,134,27,sec_test_0001
m3_full,19521011,test,0.0,114,16,0.875,0.12280701754385964,0.2153846153846154,0.14705882352941177,0.9649122807017544,0.746119733924612,0.25388026607538805,902,229,0.21910112359550563,0.8297872340425532,47,178,68,10,sec_test_0002
m3_full,19521011,test,0.7,114,51,0.7647058823529411,0.34210526315789475,0.4727272727272727,0.21641791044776118,1.0964912280701755,0.7170686456400742,0.2829313543599258,2156,610,0.5652173913043478,0.5531914893617021,47,46,134,29,sec_test_0002
m3_full,19521011,test,0.0,111,19,0.7894736842105263,0.13513513513513514,0.2307692307692308,0.10588235294117647,1.009009009009009,0.7845410628019324,0.21545893719806763,1035,223,0.24375,0.78,50,160,85,9,sec_test_0003
m3_full,19521011,test,0.7,111,51,0.6862745098039216,0.3153153153153153,0.43209876543209874,0.22794117647058823,1.135135135135135,0.7400190114068441,0.2599809885931559,2104,547,0.5625,0.54,50,48,136,31,sec_test_0003
m3_full,19521011,test,0.0,109,20,0.7,0.12844036697247707,0.2170542635658915,0.14814814814814814,0.981651376146789,0.8026948989412896,0.1973051010587103,1039,205,0.23417721518987342,0.7115384615384616,52,158,81,12,sec_test_0004
m3_full,19521011,test,0.7,109,54,0.6111111111111112,0.30275229357798167,0.40490797546012275,0.24817518248175183,1.165137614678899,0.7471369674759505,0.25286303252404946,2183,552,0.7105263157894737,0.5192307692307693,52,38,137,34,sec_test_0004
m3_full,19521011,test,0.0,107,21,0.5714285714285714,0.11214953271028037,0.18749999999999997,0.11842105263157894,1.0,0.787109375,0.212890625,1024,218,0.25316455696202533,0.7407407407407407,54,158,76,9,sec_test_0005
m3_full,19521011,test,0.7,107,54,0.7037037037037037,0.35514018691588783,0.47204968944099374,0.19083969465648856,1.02803738317757,0.7565507384468795,0.24344926155312052,2099,511,0.5777777777777777,0.48148148148148145,54,45,131,25,sec_test_0005
m3_full,19521011,test,0.0,108,17,0.7058823529411765,0.1111111111111111,0.192,0.08571428571428572,0.9444444444444444,0.8348837209302326,0.16511627906976745,860,142,0.24431818181818182,0.8113207547169812,53,176,70,6,sec_test_0006
m3_full,19521011,test,0.7,108,55,0.6363636363636364,0.32407407407407407,0.4294478527607362,0.23255813953488372,1.0648148148148149,0.7431106959364783,0.25688930406352173,2141,550,0.6428571428571429,0.5094339622641509,53,42,129,30,sec_test_0006
m3_full,19521011,test,0.0,112,27,0.8148148148148148,0.19642857142857142,0.316546762589928,0.14285714285714285,0.8839285714285714,0.7815049864007253,0.2184950135992747,1103,241,0.21935483870967742,0.6938775510204082,49,155,77,11,sec_test_0007
m3_full,19521011,test,0.7,112,62,0.7419354838709677,0.4107142857142857,0.528735632183908,0.17647058823529413,0.9464285714285714,0.7544964028776978,0.24550359712230216,2224,546,0.6756756756756757,0.5102040816326531,49,37,136,24,sec_test_0007
m3_full,19521011,test,0.0,106,25,0.8,0.18867924528301888,0.30534351145038174,0.13333333333333333,0.9905660377358491,0.771900826446281,0.228099173553719,1210,276,0.30656934306569344,0.7636363636363637,55,137,90,12,sec_test_0008
m3_full,19521011,test,0.7,106,58,0.7241379310344828,0.39622641509433965,0.5121951219512195,0.22556390977443608,1.0471698113207548,0.7063887630267331,0.29361123697326685,2207,648,0.7575757575757576,0.45454545454545453,55,33,133,30,sec_test_0008
m3_full,19521011,test,0.0,108,15,0.7333333333333333,0.10185185185185185,0.17886178861788615,0.25,1.0277777777777777,0.7751141552511416,0.22488584474885845,876,197,0.24,0.7924528301886793,53,175,64,16,sec_test_0009
m3_full,19521011,test,0.7,108,48,0.5833333333333334,0.25925925925925924,0.358974358974359,0.29457364341085274,1.2222222222222223,0.7329842931937173,0.2670157068062827,2101,561,0.5652173913043478,0.49056603773584906,53,46,129,38,sec_test_0009
m3_full,19521011,test,0.0,110,17,0.7058823529411765,0.10909090909090909,0.1889763779527559,0.11688311688311688,1.009090909090909,0.8199389623601221,0.18006103763987794,983,177,0.22424242424242424,0.7254901960784313,51,165,77,9,sec_test_0010
m3_full,19521011,test,0.7,110,51,0.6470588235294118,0.3,0.40993788819875776,0.19117647058823528,1.1181818181818182,0.7634357005758158,0.23656429942418425,2084,493,0.5714285714285714,0.5490196078431373,51,49,136,26,sec_test_0010
m3_full,19521011,test,0.0,98,18,0.8333333333333334,0.15306122448979592,0.25862068965517243,0.07407407407407407,1.0,0.8220424671385238,0.17795753286147623,989,176,0.3092105263157895,0.746031746031746,63,152,81,6,sec_test_0011
m3_full,19521011,test,0.7,98,54,0.6296296296296297,0.3469387755102041,0.4473684210526315,0.21705426356589147,1.1224489795918366,0.7389616690926735,0.26103833090732653,2061,538,0.7,0.4444444444444444,63,40,129,28,sec_test_0011
m3_full,19521011,test,0.0,116,17,0.8235294117647058,0.1206896551724138,0.21052631578947367,0.10843373493975904,1.0086206896551724,0.7983789260385005,0.2016210739614995,987,199,0.22941176470588234,0.8666666666666667,45,170,83,9,sec_test_0012
m3_full,19521011,test,0.7,116,53,0.7735849056603774,0.35344827586206895,0.48520710059171596,0.2357142857142857,1.1206896551724137,0.7435779816513761,0.2564220183486238,2180,559,0.5777777777777777,0.5777777777777777,45,45,140,33,sec_test_0012
m3_full,19521012,dev,0.0,113,49,0.6938775510204082,0.3008849557522124,0.4197530864197531,0.2230769230769231,1.0707964601769913,0.7595959595959596,0.2404040404040404,1980,476,0.4444444444444444,0.5833333333333334,48,63,130,29,sec_dev_0000
m3_full,19521012,dev,0.7,113,63,0.6507936507936508,0.36283185840707965,0.4659090909090909,0.29285714285714287,1.168141592920354,0.7319148936170212,0.2680851063829787,2350,630,1.0,0.5208333333333334,48,25,140,41,sec_dev_0000
m3_full,19521012,dev,0.0,111,44,0.7272727272727273,0.2882882882882883,0.41290322580645167,0.17094017094017094,0.954954954954955,0.7568321249302844,0.24316787506971557,1793,436,0.38271604938271603,0.62,50,81,117,20,sec_dev_0001
m3_full,19521012,dev,0.7,111,58,0.6206896551724138,0.32432432432432434,0.4260355029585799,0.21678321678321677,1.1441441441441442,0.7221499783268314,0.27785002167316863,2307,641,0.8888888888888888,0.48,50,27,143,31,sec_dev_0001
m3_full,19521012,dev,0.0,112,46,0.7608695652173914,0.3125,0.44303797468354433,0.19047619047619047,1.0,0.7413600891861761,0.25863991081382387,1794,464,0.37037037037037035,0.6122448979591837,49,81,126,24,sec_dev_0002
m3_full,19521012,dev,0.7,112,68,0.6911764705882353,0.41964285714285715,0.5222222222222223,0.2773722627737226,1.0357142857142858,0.7084933845497225,0.2915066154502774,2343,683,1.0,0.5102040816326531,49,25,137,38,sec_dev_0002
m3_full,19521012,dev,0.0,104,47,0.6382978723404256,0.28846153846153844,0.3973509933774835,0.145985401459854,1.1826923076923077,0.7539082198688856,0.24609178013111446,1983,488,0.5094339622641509,0.47368421052631576,57,53,137,20,sec_dev_0003
m3_full,19521012,dev,0.7,104,58,0.6724137931034483,0.375,0.4814814814814814,0.1643835616438356,1.1826923076923077,0.7409050576752441,0.259094942324756,2254,584,1.0,0.43859649122807015,57,25,146,24,sec_dev_0003
m3_full,19521012,dev,0.0,117,48,0.75,0.3076923076923077,0.4363636363636364,0.18699186991869918,0.9572649572649573,0.7721518987341772,0.22784810126582278,1817,414,0.3333333333333333,0.6363636363636364,44,84,123,23,sec_dev_0004
m3_full,19521012,dev,0.7,117,65,0.7230769230769231,0.4017094017094017,0.5164835164835165,0.23809523809523808,1.0854700854700854,0.7402433906840118,0.25975660931598826,2383,619,1.0,0.5681818181818182,44,25,147,35,sec_dev_0004
m3_full,19521012,dev,0.0,121,49,0.7959183673469388,0.32231404958677684,0.4588235294117647,0.16911764705882354,1.024793388429752,0.7626008064516129,0.2373991935483871,1984,471,0.4,0.7,40,70,136,23,sec_dev_0005
m3_full,19521012,dev,0.7,121,65,0.7692307692307693,0.4132231404958678,0.5376344086021505,0.20134228187919462,1.0661157024793388,0.7453338863542098,0.2546661136457901,2411,614,1.0,0.65,40,26,149,30,sec_dev_0005
m3_full,19521012,dev,0.0,106,48,0.6666666666666666,0.3018867924528302,0.41558441558441556,0.20491803278688525,1.028301886792453,0.7742110990206746,0.22578890097932536,1838,415,0.4225352112676056,0.5454545454545454,55,71,122,25,sec_dev_0006
m3_full,19521012,dev,0.7,106,65,0.7076923076923077,0.4339622641509434,0.5380116959064327,0.24817518248175183,1.0377358490566038,0.7371879106438897,0.2628120893561104,2283,600,1.0,0.45454545454545453,55,25,137,34,sec_dev_0006
m3_full,19521012,dev,0.0,107,45,0.6888888888888889,0.2897196261682243,0.40789473684210525,0.16101694915254236,0.9626168224299065,0.7421875,0.2578125,1792,462,0.38961038961038963,0.5555555555555556,54,77,118,19,sec_dev_0007
