analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
primary,no_motion,test,recall,-0.0389,-,no,-1.78,0.1496,0.5922,n_gold_matches,108.8,108.8,-0.0227,YES,+0.0348,-0.0448,-0.0232,-0.0939,-0.0676
primary,no_time,test,recall,-0.0303,-,no,-1.33,0.2556,0.5922,n_gold_matches,108.8,108.8,-0.0008,no,-0.0132,+0.0286,-0.0632,-0.0035,-0.1000
primary,no_state,test,recall,-0.0301,-,no,-1.58,0.1893,0.5922,n_gold_matches,108.8,108.8,-0.0143,no,-0.0456,+0.0186,-0.0810,+0.0096,-0.0522
primary,no_rel,test,recall,-0.0528,-,no,-1.79,0.1481,0.5922,n_gold_matches,108.8,108.8,-0.0041,no,+0.0170,-0.0276,-0.1615,-0.0494,-0.0426
primary,no_src,test,recall,-0.0238,-,no,-2.22,0.0903,0.4514,n_gold_matches,108.8,108.8,-0.0147,no,+0.0036,-0.0452,-0.0052,-0.0212,-0.0508
primary,no_motion,test,f1,-0.0584,-,no,-1.88,0.1336,0.5343,—,n/a,n/a,-0.0203,YES,+0.0449,-0.0722,-0.0285,-0.1333,-0.1027
primary,no_time,test,f1,-0.0433,-,no,-1.24,0.2834,0.5343,—,n/a,n/a,-0.0001,no,-0.0153,+0.0423,-0.0808,-0.0037,-0.1592
primary,no_state,test,f1,-0.0418,-,no,-1.59,0.1864,0.5343,—,n/a,n/a,-0.0111,no,-0.0633,+0.0266,-0.1065,+0.0135,-0.0794
primary,no_rel,test,f1,-0.0761,-,no,-1.81,0.1443,0.5343,—,n/a,n/a,-0.0014,no,+0.0216,-0.0414,-0.2318,-0.0669,-0.0619
primary,no_src,test,f1,-0.0353,-,no,-2.11,0.1028,0.5140,—,n/a,n/a,-0.0123,no,+0.0049,-0.0724,-0.0084,-0.0235,-0.0773
primary,no_motion,test,wrong_merge_rate,-0.0308,-,no,-2.58,0.0610,0.3050,n_pred_identities,55.1,69.0,+0.0024,no,-0.0257,+0.0021,-0.0148,-0.0552,-0.0606
primary,no_time,test,wrong_merge_rate,-0.0195,-,no,-0.92,0.4093,0.8185,n_pred_identities,55.1,69.0,-0.0087,no,-0.0192,+0.0158,-0.0192,+0.0220,-0.0968
primary,no_state,test,wrong_merge_rate,-0.0072,-,no,-0.40,0.7080,0.8185,n_pred_identities,60.7,69.0,-0.0026,no,+0.0147,+0.0518,-0.0377,-0.0211,-0.0437
primary,no_rel,test,wrong_merge_rate,-0.0307,-,YES,-1.86,0.1368,0.5473,n_pred_identities,43.8,69.0,-0.0054,no,-0.0054,-0.0078,-0.0926,-0.0101,-0.0376
primary,no_src,test,wrong_merge_rate,-0.0205,-,no,-1.68,0.1685,0.5473,n_pred_identities,57.5,69.0,-0.0080,no,-0.0108,-0.0236,+0.0167,-0.0259,-0.0589
primary,no_motion,test,fragmentation_rate,+0.0018,+,no,0.15,0.8860,1.0000,n_gold_matches,108.8,108.8,+0.0238,YES,-0.0041,+0.0335,-0.0050,+0.0198,-0.0352
primary,no_time,test,fragmentation_rate,-0.0099,-,no,-1.17,0.3072,1.0000,n_gold_matches,108.8,108.8,+0.0079,no,-0.0217,+0.0150,-0.0194,+0.0054,-0.0288
primary,no_state,test,fragmentation_rate,+0.0086,+,no,0.80,0.4662,1.0000,n_gold_matches,108.8,108.8,-0.0045,no,+0.0296,+0.0251,+0.0209,-0.0072,-0.0255
primary,no_rel,test,fragmentation_rate,-0.0115,-,no,-1.20,0.2977,1.0000,n_gold_matches,108.8,108.8,-0.0005,no,-0.0074,+0.0075,-0.0010,-0.0084,-0.0483
primary,no_src,test,fragmentation_rate,+0.0027,+,no,0.28,0.7929,1.0000,n_gold_matches,108.8,108.8,-0.0003,no,+0.0053,+0.0189,+0.0213,+0.0002,-0.0322
primary,no_motion,test,impossible_transition_rate,-0.0239,-,YES,-3.25,0.0312,0.1562,n_transitions,791.4,1044.7,-0.0007,no,-0.0288,-0.0115,-0.0024,-0.0356,-0.0414
primary,no_time,test,impossible_transition_rate,-0.0150,-,no,-1.04,0.3563,0.7126,n_transitions,821.2,1044.7,-0.0006,no,-0.0248,+0.0255,-0.0178,+0.0029,-0.0609
primary,no_state,test,impossible_transition_rate,-0.0128,-,no,-1.01,0.3688,0.7126,n_transitions,888.9,1044.7,+0.0010,no,+0.0064,+0.0219,-0.0305,-0.0128,-0.0490
primary,no_rel,test,impossible_transition_rate,-0.0180,-,no,-1.86,0.1370,0.4111,n_transitions,652.6,1044.7,+0.0006,no,-0.0053,-0.0286,-0.0513,+0.0005,-0.0054
primary,no_src,test,impossible_transition_rate,-0.0159,-,no,-2.23,0.0900,0.3601,n_transitions,853.4,1044.7,-0.0069,YES,-0.0216,-0.0128,+0.0057,-0.0124,-0.0383
primary,no_motion,test,trajectory_consistency_rate,+0.0239,+,YES,3.25,0.0312,0.1562,n_transitions,791.4,1044.7,+0.0007,no,+0.0288,+0.0115,+0.0024,+0.0356,+0.0414
primary,no_time,test,trajectory_consistency_rate,+0.0150,+,no,1.04,0.3563,0.7126,n_transitions,821.2,1044.7,+0.0006,no,+0.0248,-0.0255,+0.0178,-0.0029,+0.0609
primary,no_state,test,trajectory_consistency_rate,+0.0128,+,no,1.01,0.3688,0.7126,n_transitions,888.9,1044.7,-0.0010,no,-0.0064,-0.0219,+0.0305,+0.0128,+0.0490
primary,no_rel,test,trajectory_consistency_rate,+0.0180,+,no,1.86,0.1370,0.4111,n_transitions,652.6,1044.7,-0.0006,no,+0.0053,+0.0286,+0.0513,-0.0005,+0.0054
primary,no_src,test,trajectory_consistency_rate,+0.0159,+,no,2.23,0.0900,0.3601,n_transitions,853.4,1044.7,+0.0069,YES,+0.0216,+0.0128,-0.0057,+0.0124,+0.0383
primary,no_motion,test,dangling_precision,-0.0154,-,no,-1.18,0.3025,0.5057,n_pred_dangling,185.2,158.5,-0.0388,no,+0.0265,-0.0056,-0.0132,-0.0494,-0.0354
primary,no_time,test,dangling_precision,-0.0197,-,no,-1.85,0.1380,0.5057,n_pred_dangling,182.2,158.5,+0.0176,no,-0.0056,+0.0103,-0.0432,-0.0158,-0.0443
primary,no_state,test,dangling_precision,-0.0172,-,no,-1.93,0.1264,0.5057,n_pred_dangling,174.9,158.5,-0.0611,no,-0.0167,+0.0120,-0.0423,-0.0125,-0.0264
primary,no_rel,test,dangling_precision,-0.0301,-,no,-1.89,0.1321,0.5057,n_pred_dangling,200.2,158.5,-0.0217,no,+0.0099,-0.0091,-0.0848,-0.0373,-0.0292
primary,no_src,test,dangling_precision,-0.0152,-,YES,-2.47,0.0690,0.3452,n_pred_dangling,178.8,158.5,-0.0684,no,-0.0051,-0.0098,-0.0012,-0.0304,-0.0295
primary,no_motion,test,dangling_recall,+0.0633,+,no,2.78,0.0499,0.2495,n_gold_dangling,52.2,52.2,+0.0080,no,-0.0240,+0.0835,+0.0631,+0.0907,+0.1033
primary,no_time,test,dangling_recall,+0.0486,+,no,1.28,0.2701,0.5403,n_gold_dangling,52.2,52.2,+0.0030,no,+0.0430,-0.0555,+0.1004,-0.0052,+0.1604
