variant,seed,split,margin,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling,n_pred_identities,n_wrong_merges,scenario_id
m3_full,19521006,dev,0.0,121,41,0.7317073170731707,0.24793388429752067,0.37037037037037035,0.2222222222222222,1.0495867768595042,0.7352245862884161,0.2647754137115839,1692,448,0.28431372549019607,0.725,40,102,108,24,sec_dev_0005
m3_full,19521006,dev,0.7,121,59,0.711864406779661,0.34710743801652894,0.4666666666666667,0.26573426573426573,1.1322314049586777,0.7167308515190415,0.2832691484809585,2337,662,0.7647058823529411,0.65,40,34,143,38,sec_dev_0005
m3_full,19521006,dev,0.0,106,28,0.75,0.19811320754716982,0.3134328358208955,0.10975609756097561,0.9528301886792453,0.7928692699490663,0.2071307300509338,1178,244,0.2765957446808511,0.7090909090909091,55,141,82,9,sec_dev_0006
m3_full,19521006,dev,0.7,106,62,0.7419354838709677,0.4339622641509434,0.5476190476190477,0.21804511278195488,1.009433962264151,0.7263017356475301,0.27369826435246997,2247,615,0.8620689655172413,0.45454545454545453,55,29,133,29,sec_dev_0006
m3_full,19521006,dev,0.0,107,40,0.75,0.2803738317757009,0.40816326530612235,0.19101123595505617,0.8691588785046729,0.6981891348088531,0.30181086519114686,1491,450,0.3090909090909091,0.6296296296296297,54,110,89,17,sec_dev_0007
m3_full,19521006,dev,0.7,107,60,0.7333333333333333,0.411214953271028,0.5269461077844312,0.21481481481481482,1.0467289719626167,0.6915032679738562,0.3084967320261438,2295,708,0.96,0.4444444444444444,54,25,135,29,sec_dev_0007
m3_full,19521006,dev,0.0,109,39,0.6923076923076923,0.24770642201834864,0.36486486486486486,0.22826086956521738,0.963302752293578,0.7232746955345061,0.2767253044654939,1478,409,0.30973451327433627,0.6730769230769231,52,113,92,21,sec_dev_0008
m3_full,19521006,dev,0.7,109,70,0.7,0.44954128440366975,0.547486033519553,0.2578125,0.9724770642201835,0.7244809688581315,0.2755190311418685,2312,637,1.0,0.5,52,26,128,33,sec_dev_0008
m3_full,19521006,dev,0.0,110,36,0.8333333333333334,0.2727272727272727,0.4109589041095891,0.2079207920792079,0.9818181818181818,0.7978652434956638,0.2021347565043362,1499,303,0.3153153153153153,0.6862745098039216,51,111,101,21,sec_dev_0009
m3_full,19521006,dev,0.7,110,54,0.7037037037037037,0.34545454545454546,0.4634146341463415,0.24822695035460993,1.190909090909091,0.751873071837814,0.24812692816218598,2269,563,0.8,0.47058823529411764,51,30,141,35,sec_dev_0009
