analysis,model,seed,split,precision,recall,f1,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate,dangling_precision,dangling_recall,n_gold_dangling,n_gold_matches,n_pred_dangling,n_pred_identities,n_pred_matches,n_transitions
primary,no_src,19521009,test,0.811812790785463,0.15793779886853535,0.2629809064594561,0.12484665581575995,0.9609893690882004,0.21927483453874028,0.7807251654612598,0.23612351378044,0.7567570308276851,52.15384615384615,108.84615384615384,168.53846153846155,67.76923076923077,21.384615384615383,945.3076923076923
primary,no_src,19521010,dev,0.6763655462184874,0.08007466680113656,0.14158104728057583,0.16581871420399188,0.9814152034661113,0.25121328552965866,0.7487867144703412,0.21122218964816417,0.8630007472495124,51.083333333333336,109.91666666666667,209.16666666666666,39.666666666666664,13.083333333333334,577.8333333333334
primary,no_src,19521010,test,0.6925496929677533,0.07642115139499056,0.13335018085130657,0.17156287176693355,0.9934137680201519,0.24861210289474422,0.7513878971052558,0.22165886922526445,0.8986336478185428,52.15384615384615,108.84615384615384,212.92307692307693,37.53846153846154,11.307692307692308,531.6923076923077
revive,m3_full,19521006,dev,0.6332442461431268,0.35137509751463686,0.4514937225654398,0.28797533187108404,1.0820944241488335,0.2975712048570319,0.7024287951429682,0.7436855738076469,0.5272244190244153,51.083333333333336,109.91666666666667,36.25,124.08333333333333,60.666666666666664,2222.5833333333335
revive,m3_full,19521006,test,0.6391040652695389,0.3529258995429056,0.45414373243895806,0.2880654611862275,1.0685353682453242,0.2933708365915392,0.7066291634084609,0.7185631929012088,0.505969014527219,52.15384615384615,108.84615384615384,37.15384615384615,122.38461538461539,59.92307692307692,2204.5384615384614
revive,m3_full,19521007,dev,0.6383830562501195,0.2929579742956243,0.4009906864850625,0.26660542039033663,1.0948637398663896,0.28754914498823575,0.7124508550117641,0.506686508841678,0.5713458499547802,51.083333333333336,109.91666666666667,58.5,117.91666666666667,50.333333333333336,2006.25
revive,m3_full,19521007,test,0.6506354332120631,0.30718233120576194,0.4156204873340147,0.25164968607510085,1.044054154595059,0.2723028331245219,0.7276971668754781,0.4987829187069337,0.5531904023011168,52.15384615384615,108.84615384615384,60.23076923076923,116.92307692307692,51.30769230769231,1979.2307692307693
revive,m3_full,19521008,dev,0.6750112032950114,0.36727393019086324,0.4753689606884171,0.2661038593378449,1.1042065104511274,0.2824719547034846,0.7175280452965153,0.8633445209571463,0.4989769002415509,51.083333333333336,109.91666666666667,29.333333333333332,132.75,59.833333333333336,2283.0833333333335
revive,m3_full,19521008,test,0.6562310987418645,0.3856383696827592,0.485210442501887,0.2481112725421774,1.0488616109644338,0.2709003167530014,0.7290996832469985,0.8478809690503238,0.4944224654483772,52.15384615384615,108.84615384615384,30.53846153846154,129.69230769230768,63.61538461538461,2263.3846153846152
revive,m3_full,19521009,dev,0.7000787538022814,0.38785607407599904,0.49832171028556754,0.23230172995362638,1.0874440239142549,0.2715601909481107,0.7284398090518894,0.9065782780094979,0.5013781790541705,51.083333333333336,109.91666666666667,28.0,138.16666666666666,61.0,2291.0
revive,m3_full,19521009,test,0.6732095149345801,0.3922735789341309,0.4955431936758128,0.24815126159943723,1.071461447927719,0.26883855973931536,0.7311614402606847,0.8577539776393205,0.49526726129872245,52.15384615384615,108.84615384615384,30.23076923076923,132.46153846153845,63.38461538461539,2263.6923076923076
revive,m3_full,19521010,dev,0.5888156955021209,0.3026128865903462,0.3994578389318377,0.3035308892798622,1.1604661119927457,0.32111306936002176,0.6788869306399783,0.6852662377219855,0.5250932423603992,51.083333333333336,109.91666666666667,39.583333333333336,121.0,56.583333333333336,2192.3333333333335
revive,m3_full,19521010,test,0.5657352956175454,0.2873942078250568,0.3805836368183995,0.3078873419123385,1.1859356465572666,0.2996289912851267,0.7003710087148733,0.6604784246122123,0.5237976194423334,52.15384615384615,108.84615384615384,42.15384615384615,119.92307692307692,55.0,2157.0
revive,no_motion,19521006,dev,0.6666213100411483,0.3733435000027705,0.47816679249794963,0.2560816923014632,1.0719298541566644,0.2808798433486924,0.7191201566513077,0.8251108531894565,0.5115243227193139,51.083333333333336,109.91666666666667,31.583333333333332,131.33333333333334,61.333333333333336,2262.0
revive,no_motion,19521006,test,0.6788852581553156,0.38099592584490094,0.48721753355919856,0.25089564332002423,1.0659104132472572,0.2687621604105649,0.7312378395894351,0.8307224878287026,0.5075997387994527,52.15384615384615,108.84615384615384,32.23076923076923,130.92307692307693,60.84615384615385,2245.230769230769
revive,no_motion,19521007,dev,0.6027526258124828,0.2141316473203735,0.31317608406470765,0.24791916573158793,1.059153529989431,0.28361131764037323,0.7163886823596268,0.3206295078691951,0.6371280227729255,51.083333333333336,109.91666666666667,103.91666666666667,96.25,38.416666666666664,1573.75
revive,no_motion,19521007,test,0.6364997743306996,0.2273447237921881,0.33396784345342184,0.2236987762057844,1.0436430021885448,0.2703964112302532,0.7296035887697467,0.3321647009654187,0.6359454326871068,52.15384615384615,108.84615384615384,101.61538461538461,96.92307692307692,38.92307692307692,1585.3846153846155
revive,no_motion,19521008,dev,0.6582547411892435,0.3775792517044551,0.47938314422427136,0.25800930567873703,1.0983812360623568,0.28720316501054377,0.7127968349894562,0.8994730848327438,0.5034615123875038,51.083333333333336,109.91666666666667,28.416666666666668,132.75,63.25,2292.25
