seed,split,variant,auc,ci_lo,ci_hi,d_auc_vs_sem,d_ci_lo,d_ci_hi,d_excludes_0,excludes_0.5
19521008,test,marginal_b_motion,0.48483886880496535,0.48076841410825427,0.49046550911849013,,,,,True
19521008,test,incr_b_motion,0.9685610945100432,0.9666935177701624,0.9703588114643584,-0.00036854695636212575,-0.00048161426806865305,-0.0002735616310072797,True,
19521008,test,marginal_b_state,0.714716211771724,0.71078706315403,0.718466835564756,,,,,True
19521008,test,incr_b_state,0.9254961466119801,0.922202017420187,0.9286427241415136,-0.04343349485442527,-0.04535090896427511,-0.04138801038537293,True,
19521008,test,marginal_b_rel,0.9029581650384138,0.898057193531822,0.9079129977961442,,,,,True
19521008,test,incr_b_rel,0.9742237775286738,0.9723741801023719,0.9761554703607516,0.005294136062268473,0.003989780097252574,0.006505409973642962,True,
19521008,test,marginal_b_src,0.555216139196725,0.5512589174168923,0.5587905188212783,,,,,True
19521008,test,incr_b_src,0.9659571101796589,0.9640273190721452,0.9678017285553293,-0.0029725312867464604,-0.0031941781486691913,-0.0027860646391117128,True,
19521009,dev,score_total,0.9513699197550276,0.9494028601966461,0.953721952204507,,,,,
19521009,dev,sem_only,0.9729989250183987,0.9713594292186323,0.9743998416076202,,,,,
19521009,dev,marginal_b_time,0.5,0.5,0.5,,,,,False
19521009,dev,incr_b_time,0.9729989250183987,0.9713594292186323,0.9743998416076202,0.0,0.0,0.0,False,
19521009,dev,marginal_b_motion,0.48931847509146825,0.48407392302427243,0.49509105179385066,,,,,True
19521009,dev,incr_b_motion,0.9722771076463746,0.9706776940081788,0.9736711834208884,-0.0007218173720240362,-0.0008513008631296975,-0.000602960610923256,True,
19521009,dev,marginal_b_state,0.7139102686999835,0.7098797042182793,0.718128934708766,,,,,True
19521009,dev,incr_b_state,0.9300607869906911,0.9277975547387183,0.9325926678824874,-0.04293813802770763,-0.045607742790519414,-0.040232282390772665,True,
19521009,dev,marginal_b_rel,0.901407063241251,0.895122042859633,0.907206308301032,,,,,True
19521009,dev,incr_b_rel,0.9768753725826419,0.9748331310489483,0.9786783844002541,0.003876447564243213,0.0016738782858166463,0.005808760851291894,True,
19521009,dev,marginal_b_src,0.5498024333968496,0.5464592306554111,0.5535820829958359,,,,,True
19521009,dev,incr_b_src,0.9711254612500457,0.9694263045909158,0.9726019336593872,-0.0018734637683529565,-0.0019761444187330586,-0.0017646843672317531,True,
19521009,test,score_total,0.9529682763212063,0.9506242367767888,0.955266171519442,,,,,
19521009,test,sem_only,0.9748756378784564,0.9733388625157289,0.9764194384876259,,,,,
19521009,test,marginal_b_time,0.5,0.5,0.5,,,,,False
19521009,test,incr_b_time,0.9748756378784564,0.9733388625157289,0.9764194384876259,0.0,0.0,0.0,False,
19521009,test,marginal_b_motion,0.4848388689512735,0.4808267488698267,0.4900625110143711,,,,,True
19521009,test,incr_b_motion,0.9744689299672605,0.972900501987694,0.9760465549885777,-0.00040670791119590266,-0.0005196828181276342,-0.0003041966833679161,True,
19521009,test,marginal_b_state,0.714716211771724,0.711119542629141,0.7181789861605142,,,,,True
19521009,test,incr_b_state,0.932035621644784,0.9290694724525139,0.9349660851208019,-0.042840016233672396,-0.04476151559334281,-0.04093755865662986,True,
19521009,test,marginal_b_rel,0.9029581650384138,0.898210787987821,0.9081274357794012,,,,,True
19521009,test,incr_b_rel,0.9775068681096772,0.9758884500335204,0.9792009425919399,0.0026312302312208047,0.0014206516313541473,0.0036969107421849527,True,
19521009,test,marginal_b_src,0.5533219217904511,0.5494946161032096,0.5571673864636149,,,,,True
19521009,test,incr_b_src,0.9730438864094352,0.9714687005279901,0.9746704465812434,-0.0018317514690212588,-0.0019436431479886468,-0.0017340701062870001,True,
