seed,knockout,split,decode,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling
19521007,__none__,test,standard,108.84615384615384,15.692307692307692,0.6833750666258407,0.10488085518031937,0.17996811300704618,0.13953914963343825,0.9505714524843536,0.7582752850290718,0.24172471497092818,655.3846153846154,163.0,0.2176524019784431,0.8305523474839464,52.15384615384615,199.92307692307693
19521007,__none__,test,revive,108.84615384615384,51.30769230769231,0.6506354332120631,0.30718233120576194,0.4156204873340147,0.25164968607510085,1.044054154595059,0.7276971668754781,0.2723028331245219,1979.2307692307693,540.6923076923077,0.4987829187069337,0.5531904023011168,52.15384615384615,60.23076923076923
19521007,time,dev,standard,109.91666666666667,14.75,0.7047508756293587,0.09808388731098727,0.17050970648784322,0.17691835770351558,0.9757214872218473,0.7490947276411964,0.25090527235880367,659.75,169.91666666666666,0.2232610936028556,0.8696905353118498,51.083333333333336,200.5
19521007,time,dev,revive,109.91666666666667,50.333333333333336,0.6383830562501195,0.2929579742956243,0.4009906864850625,0.26660542039033663,1.0948637398663896,0.7124508550117641,0.28754914498823575,2006.25,577.5833333333334,0.506686508841678,0.5713458499547802,51.083333333333336,58.5
19521007,time,test,standard,108.84615384615384,15.692307692307692,0.6833750666258407,0.10488085518031937,0.17996811300704618,0.13953914963343825,0.9505714524843536,0.7582752850290718,0.24172471497092818,655.3846153846154,163.0,0.2176524019784431,0.8305523474839464,52.15384615384615,199.92307692307693
19521007,time,test,revive,108.84615384615384,51.30769230769231,0.6506354332120631,0.30718233120576194,0.4156204873340147,0.25164968607510085,1.044054154595059,0.7276971668754781,0.2723028331245219,1979.2307692307693,540.6923076923077,0.4987829187069337,0.5531904023011168,52.15384615384615,60.23076923076923
19521007,motion,dev,standard,109.91666666666667,14.75,0.7047508756293587,0.09808388731098727,0.17050970648784322,0.17877020955536738,0.9764860132157311,0.749218717126888,0.250781282873112,660.5833333333334,170.08333333333334,0.22336022127930286,0.8696905353118498,51.083333333333336,200.41666666666666
19521007,motion,dev,revive,109.91666666666667,50.333333333333336,0.6382682425941607,0.29293749592078816,0.4009771674128017,0.2669197247545863,1.0963458764180907,0.712579650182053,0.28742034981794684,2007.6666666666667,577.6666666666666,0.5073859867964624,0.5713458499547802,51.083333333333336,58.333333333333336
19521007,motion,test,standard,108.84615384615384,15.846153846153847,0.6835781064216406,0.10558015587962008,0.1810677241138028,0.1402528652792806,0.9512966532095544,0.758629355702414,0.2413706442975861,658.3076923076923,163.46153846153845,0.2180243385951539,0.8305523474839464,52.15384615384615,199.6153846153846
19521007,motion,test,revive,108.84615384615384,51.38461538461539,0.6496597845981916,0.30712902471941317,0.4153118200416043,0.2532395583469666,1.0469232849368997,0.7273574297195046,0.2726425702804955,1981.3846153846155,542.0,0.5008500272256552,0.5531904023011168,52.15384615384615,60.0
19521007,state,dev,standard,109.91666666666667,4.916666666666667,0.7276785714285715,0.03338726107946494,0.06355288898385415,0.17485608904461206,0.9902559359439814,0.7684990797703563,0.23150092022964375,256.25,59.5,0.20186510159483603,0.959121661526018,51.083333333333336,243.41666666666666
19521007,state,dev,revive,109.91666666666667,32.75,0.6271937593812044,0.18946719008030818,0.2896976743754682,0.21613781377778443,1.051161938808114,0.7386074801998483,0.2613925198001517,1435.6666666666667,378.1666666666667,0.29725856747285256,0.6762381335595622,51.083333333333336,118.0
19521007,state,test,standard,108.84615384615384,4.6923076923076925,0.7148962148962149,0.032976738678902086,0.06234399544008476,0.09257925998486641,0.9798686361690175,0.8024118533013712,0.19758814669862892,230.0,48.69230769230769,0.1999520034728325,0.9387990134176859,52.15384615384615,245.07692307692307
19521007,state,test,revive,108.84615384615384,32.69230769230769,0.6755438986416601,0.20517790995095486,0.3112809122735855,0.18162367704460267,1.0050518651650233,0.7590795128188421,0.24092048718115783,1392.8461538461538,339.0,0.2957278213672044,0.6654616617809802,52.15384615384615,121.3076923076923
19521007,rel,dev,standard,109.91666666666667,9.166666666666666,0.6679834054834055,0.05922672721603022,0.10827222439043298,0.18129818498381034,0.9833662244039525,0.7409042460932916,0.2590957539067083,453.6666666666667,121.25,0.20792813668846086,0.9018083220897242,51.083333333333336,222.41666666666666
19521007,rel,dev,revive,109.91666666666667,46.416666666666664,0.610190649527723,0.25960139557497003,0.36345882375437927,0.256791304792561,1.0891767468676277,0.7150486365426575,0.28495136345734257,1867.75,533.3333333333334,0.4156048935265753,0.5857321220074609,51.083333333333336,72.91666666666667
19521007,rel,test,standard,108.84615384615384,10.538461538461538,0.6960164835164834,0.07051380181934505,0.12602861485931235,0.14102413399563687,0.9629273949029813,0.7605593653050889,0.23944063469491111,455.7692307692308,114.6923076923077,0.2067225057229422,0.8749636010928027,52.15384615384615,221.15384615384616
19521007,rel,test,revive,108.84615384615384,46.38461538461539,0.6328382014092799,0.2696224222465285,0.3752217416882574,0.23522298463838207,1.0498947686705797,0.7336401862814348,0.2663598137185652,1845.3846153846155,493.9230769230769,0.4273705973012035,0.5775492267090956,52.15384615384615,74.15384615384616
19521007,src,dev,standard,109.91666666666667,1.25,0.5277777777777778,0.008161838906509058,0.016049833077552103,0.12966570466570468,0.9973433789256793,0.8150512764570834,0.1849487235429166,89.33333333333333,18.583333333333332,0.19285283996210104,0.9841061531075169,51.083333333333336,261.25
19521007,src,dev,revive,109.91666666666667,20.0,0.6597709884174189,0.12231957400523523,0.20431969400142072,0.1550248601999308,1.0200441937589624,0.7618704407950827,0.2381295592049173,976.5833333333334,237.83333333333334,0.2481686485402821,0.7978393131131593,51.083333333333336,166.25
