model,seed,split,precision,recall,f1,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate,dangling_precision,dangling_recall
no_time,19521007,dev,0.7627219195057652,0.46880386984528744,0.5803134173768608,0.21860614602248593,0.836279371046709,0.29736792932298317,0.7026320706770167,0.7094372494825546,0.5154578559091679
no_time,19521007,test,0.7690202425169518,0.4627599930230436,0.5775178887987341,0.20977544134863624,0.8661482631096914,0.30302652101438976,0.6969734789856101,0.7106893632985932,0.5078691359903387
no_time,19521008,dev,0.7426148857072445,0.4536101094586488,0.5626149152724921,0.2194778543667654,0.9023393179800001,0.2963307728471666,0.7036692271528335,0.7514677422163477,0.5109997539072063
no_time,19521008,test,0.7399189717295295,0.4422150150178953,0.5531866875413585,0.23417044826676225,0.9202148548825752,0.3048655554241991,0.6951344445758009,0.7591027731227291,0.501350918259183
no_time,19521009,dev,0.7507088278585403,0.4673999027143816,0.5758576891479981,0.24260615887383855,0.9049682722287827,0.30713877983130633,0.692861220168694,0.8752835953030612,0.49214925012249205
no_time,19521009,test,0.7614190099927707,0.48225301151249184,0.5895317475970613,0.21284848886631375,0.8835293643741859,0.2973109623544478,0.702689037645552,0.921704551711183,0.4825714392107693
no_time,19521010,dev,0.7592804926603284,0.4181897516462842,0.5382144680251536,0.19702148538727152,0.8846455428004342,0.26991037400364737,0.7300896259963529,0.524103385289826,0.5572582257558486
no_time,19521010,test,0.7526632136225719,0.41278100126236494,0.5322955474609938,0.19144400822336138,0.8900920099953376,0.2780031441582506,0.7219968558417492,0.5313498495407377,0.5219379960587649
no_state,19521006,dev,0.7760333829449818,0.42659174369458325,0.5493925927989431,0.21066142621632492,0.8612330314222438,0.28686535923949863,0.7131346407605013,0.5408104782842187,0.5530987541590334
no_state,19521006,test,0.7543187497935181,0.4087698845156022,0.5293354097096004,0.203341902218553,0.8796545032785196,0.29643486935320323,0.7035651306467968,0.5096731770569746,0.5279679240308598
no_state,19521007,dev,0.7969607072195858,0.45998161569598545,0.5823114451371094,0.20493918708325243,0.8325749287307748,0.27884849021670527,0.7211515097832947,0.5843986188884619,0.5432699006585008
no_state,19521007,test,0.7849989522567326,0.4761252153837349,0.5923981726172137,0.20527443225543604,0.7857538228236683,0.28603501331379866,0.7139649866862013,0.6372293962751819,0.5219395362808146
no_state,19521008,dev,0.7383199320907773,0.45950319467291806,0.565357001313665,0.22708194296386985,0.9040994432029051,0.2959048952056529,0.7040951047943471,0.7579933944591746,0.5086182695348072
no_state,19521008,test,0.7263702830513404,0.4320765244677171,0.5412111924622017,0.2566038535212086,0.9360011084877857,0.3129748319076701,0.6870251680923297,0.7991678957353895,0.49394000509702884
no_state,19521009,dev,0.7629246068610637,0.4745186130472298,0.5848371835144389,0.2041869343679339,0.888371745431686,0.29352299348577926,0.7064770065142207,0.790167919443299,0.509838466340475
no_state,19521009,test,0.7525217461086542,0.4664591527247782,0.5757546188127066,0.23598673677678,0.884076933578608,0.30246364664601083,0.6975363533539891,0.7898697612845645,0.49729227422176076
no_state,19521010,dev,0.7951444356297902,0.4284672536949065,0.5558075738543182,0.17014660849635999,0.8512208255289635,0.2723850739182076,0.7276149260817922,0.4827630224842729,0.559390570807993
no_state,19521010,test,0.7731810502976002,0.4112916311969434,0.5359896042385469,0.18334910574628777,0.8780196746776555,0.2785672253431406,0.7214327746568594,0.4788787720835831,0.5369885535770297
no_rel,19521006,dev,0.7708768381227653,0.43901758300948845,0.5587019681349393,0.20545003017932117,0.8686448479888907,0.27908397695174875,0.7209160230482513,0.5432245881855668,0.5268049293662038
no_rel,19521006,test,0.7934106367108184,0.45730483326573357,0.5795521732012061,0.19047811815784924,0.8301204147528775,0.28081680826336775,0.7191831917366323,0.5396671797520852,0.5122883854827085
no_rel,19521007,dev,0.7593417267413325,0.4440465233224653,0.5598223165883718,0.22272049900307067,0.8802251792238396,0.2824533084892575,0.7175466915107425,0.6467490862140322,0.542926987075041
no_rel,19521007,test,0.7799504965740015,0.4692644942415759,0.5856646251483886,0.2108609395420691,0.8511120966434877,0.2848069167021151,0.7151930832978848,0.7002946656724572,0.5204564539672778
no_rel,19521008,dev,0.7446338568167955,0.47812068466508223,0.581482018630878,0.22929348044036293,0.8669736079724237,0.3008092618373442,0.6991907381626558,0.8251403019700856,0.5035649920077901
