model,split,metric,mean,std,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
no_rel,test,fragmentation_rate,0.8767,0.0341,0.8301,0.8511,0.9056,0.9045,0.8920
no_rel,test,impossible_transition_rate,0.2949,0.0128,0.2808,0.2848,0.3114,0.3040,0.2934
no_rel,test,trajectory_consistency_rate,0.7051,0.0128,0.7192,0.7152,0.6886,0.6960,0.7066
no_rel,test,dangling_precision,0.6823,0.1589,0.5397,0.7003,0.8481,0.8231,0.5005
no_rel,test,dangling_recall,0.5103,0.0261,0.5123,0.5205,0.4818,0.4896,0.5473
no_src,dev,precision,0.7581,0.0136,0.7779,0.7655,0.7522,0.7436,0.7514
no_src,dev,recall,0.4429,0.0129,0.4304,0.4458,0.4513,0.4583,0.4289
no_src,dev,f1,0.5583,0.0087,0.5537,0.5625,0.5635,0.5665,0.5452
no_src,dev,wrong_merge_rate,0.2055,0.0127,0.1942,0.2015,0.2113,0.2247,0.1956
no_src,dev,fragmentation_rate,0.8819,0.0187,0.8640,0.8707,0.8712,0.8965,0.9068
no_src,dev,impossible_transition_rate,0.2827,0.0090,0.2712,0.2842,0.2848,0.2955,0.2779
no_src,dev,trajectory_consistency_rate,0.7173,0.0090,0.7288,0.7158,0.7152,0.7045,0.7221
no_src,dev,dangling_precision,0.6371,0.0995,0.5418,0.5695,0.6642,0.7944,0.6156
no_src,dev,dangling_recall,0.5331,0.0160,0.5540,0.5399,0.5259,0.5112,0.5345
no_src,test,precision,0.7544,0.0105,0.7491,0.7589,0.7399,0.7677,0.7566
no_src,test,recall,0.4385,0.0204,0.4207,0.4540,0.4235,0.4664,0.4279
no_src,test,f1,0.5538,0.0188,0.5382,0.5675,0.5380,0.5796,0.5458
no_src,test,wrong_merge_rate,0.2115,0.0138,0.2126,0.1949,0.2293,0.2195,0.2012
no_src,test,fragmentation_rate,0.8769,0.0366,0.8687,0.8229,0.9237,0.8797,0.8894
no_src,test,impossible_transition_rate,0.2873,0.0068,0.2843,0.2795,0.2949,0.2942,0.2837
no_src,test,trajectory_consistency_rate,0.7127,0.0068,0.7157,0.7205,0.7051,0.7058,0.7163
no_src,test,dangling_precision,0.6356,0.0976,0.5564,0.5677,0.6596,0.7949,0.5996
no_src,test,dangling_recall,0.5164,0.0144,0.5383,0.5135,0.5171,0.4980,0.5151
